source,url,type,target_page,anchor_text,status,index_status,notes
LinkedIn Company,,citation,https://meowlabs.id,Meow Labs,planned,,
Founder LinkedIn Profile,,citation,https://meowlabs.id/jasa-pembuatan-website-semarang,jasa pembuatan website Semarang,planned,,
GitHub Profile/Org,,citation,https://meowlabs.id,Meow Labs,planned,,
Google Business Profile,,citation,https://meowlabs.id,Meow Labs,planned,,
Medium Article,,article,https://meowlabs.id/jasa-pembuatan-website-semarang,website UMKM Semarang,planned,,
Dev.to Article,,article,https://meowlabs.id/resources,resource website AI,planned,,
Client Backlink 1,,client,https://meowlabs.id,Website by Meow Labs,planned,,
Client Backlink 2,,client,https://meowlabs.id/jasa-pembuatan-website-semarang,Developed by Meow Labs,planned,,
Client Backlink 3,,client,https://meowlabs.id/resources,Meow Labs,planned,,
Semarang Directory 1,,directory,https://meowlabs.id,Meow Labs,planned,,
Semarang Directory 2,,directory,https://meowlabs.id/jasa-pembuatan-website-semarang,jasa website Semarang,planned,,
Community Thread 1,,community,https://meowlabs.id/resources,cek selengkapnya,planned,,
